game_pk,home_bp_k_bb_ratio_rolling_5,away_bp_k_bb_ratio_rolling_5,home_bp_k_bb_ratio_rolling_10,away_bp_k_bb_ratio_rolling_10
567067,3.75,3.4,2.6153846153846154,2.2857142857142856
567268,2.0714285714285716,2.25,1.8571428571428572,2.923076923076923
564838,1.2222222222222223,3.6666666666666665,1.368421052631579,4.0
564936,1.6153846153846154,1.4444444444444444,1.5909090909090908,2.769230769230769
565028,3.8,2.0,3.727272727272727,2.75
565126,2.0,5.75,1.5161290322580645,3.2
565228,4.0,2.125,2.1333333333333333,2.7857142857142856
565515,2.0,6.333333333333333,2.909090909090909,3.6
565710,2.5714285714285716,1.8,1.5714285714285714,1.380952380952381
566477,3.3333333333333335,1.6666666666666667,2.625,1.4545454545454546
566573,1.4545454545454546,3.4,1.2413793103448276,3.6666666666666665
567163,2.8333333333333335,2.0,2.176470588235294,2.111111111111111
564839,1.8888888888888888,2.75,2.066666666666667,3.4
565029,4.4,1.5384615384615385,3.8181818181818183,1.6
565127,2.2,8.0,1.5384615384615385,3.75
565711,5.5,7.5,1.65,4.5
565806,4.0,1.1428571428571428,3.090909090909091,1.7777777777777777
565900,2.2857142857142856,4.8,2.1176470588235294,3.1333333333333333
566378,2.1818181818181817,2.3333333333333335,1.5909090909090908,4.0
566478,5.0,1.8,2.857142857142857,1.5
566769,2.3333333333333335,1.5,2.2857142857142856,2.5
566871,2.0,2.7142857142857144,2.1578947368421053,3.4545454545454546
567164,2.25,2.090909090909091,1.75,2.3529411764705883
567366,2.5,2.0,2.533333333333333,2.533333333333333
567462,2.2222222222222223,2.0,2.1,2.0476190476190474
564840,2.5714285714285716,3.142857142857143,2.3076923076923075,3.5
565030,3.8333333333333335,2.857142857142857,3.8,1.55
565128,2.857142857142857,5.0,1.608695652173913,4.0
565229,2.875,2.5555555555555554,2.066666666666667,1.5769230769230769
565712,5.0,3.5,1.9411764705882353,3.727272727272727
565807,3.4,1.4,2.75,1.6842105263157894
565901,2.5714285714285716,4.2,2.4,3.357142857142857
566379,2.272727272727273,3.3333333333333335,1.894736842105263,3.7
566479,6.0,2.1666666666666665,4.625,1.875
566872,1.6923076923076923,3.125,2.1578947368421053,3.2857142857142856
566966,0.8421052631578947,1.3846153846153846,1.2962962962962963,2.5
567165,2.625,2.4444444444444446,2.0555555555555554,2.235294117647059
567367,2.5,2.5,2.6,2.6153846153846154
567463,2.111111111111111,1.8461538461538463,2.466666666666667,2.1
564841,4.4,2.2,2.5384615384615383,3.2
565031,3.0,2.625,3.230769230769231,1.619047619047619
565230,2.5555555555555554,2.625,2.1333333333333333,1.6
565713,9.5,2.8333333333333335,2.0,3.727272727272727
565808,3.142857142857143,1.1111111111111112,2.923076923076923,1.5263157894736843
565902,2.5,3.8,2.0625,4.333333333333333
566380,2.5,4.0,2.111111111111111,3.7
566480,8.666666666666666,3.0,5.571428571428571,1.7916666666666667
566771,2.6666666666666665,2.5,2.909090909090909,2.6923076923076925
566873,2.1,2.5555555555555554,2.0,2.8
566967,1.0,1.2142857142857142,1.2857142857142858,2.0588235294117645
567166,2.5454545454545454,2.75,2.0952380952380953,2.05
567368,3.1666666666666665,2.6666666666666665,2.4,2.6923076923076925
567464,2.75,1.9,3.1538461538461537,2.15
565032,2.5,3.1666666666666665,3.0,2.0526315789473686
565809,2.7142857142857144,2.4,2.7142857142857144,2.4285714285714284
566282,2.0,3.1666666666666665,2.875,1.8181818181818181
566381,2.875,2.111111111111111,2.1578947368421053,2.8461538461538463
566772,3.8,3.3333333333333335,3.5,4.4
566968,1.2666666666666666,1.9166666666666667,1.3333333333333333,2.0
567068,3.375,1.9090909090909092,2.933333333333333,1.7826086956521738
567269,2.2857142857142856,3.5,2.6875,2.0
567369,2.5,1.5454545454545454,2.4375,1.3461538461538463
567559,1.5555555555555556,3.0,1.631578947368421,1.6956521739130435
565516,1.2857142857142858,3.2,1.8888888888888888,5.0
565810,3.142857142857143,2.3,3.25,2.5714285714285716
565903,1.875,9.333333333333334,2.066666666666667,6.5
566094,2.8,5.5,2.2857142857142856,4.0
566283,2.3333333333333335,2.7142857142857144,2.8666666666666667,2.0526315789473686
566382,2.888888888888889,1.8888888888888888,2.3157894736842106,3.0
566671,2.7,2.8333333333333335,3.2,2.0
566773,2.2857142857142856,2.0,2.2,3.1333333333333333
566969,1.6428571428571428,2.1818181818181817,1.44,2.1
567069,3.111111111111111,1.6666666666666667,3.3076923076923075,1.8076923076923077
567167,2.6363636363636362,4.6,2.3333333333333335,2.75
567270,2.1666666666666665,2.4,2.1,2.5
567370,2.1,1.4,2.111111111111111,1.7727272727272727
567465,2.888888888888889,2.4545454545454546,2.933333333333333,2.875
567560,2.5714285714285716,2.875,1.7619047619047619,1.8181818181818181
565517,1.5,5.0,2.0,5.428571428571429
565811,3.6,1.8,3.8,2.533333333333333
