Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
170.0,Alejandro Kirk,26.0,TOR,AL,0.4,38.0,150.0,141.0,8.0,39.0,4.0,0.0,3.0,18.0,0.0,0.0,7.0,17.0,0.277,0.313,0.369,0.682,94.0,0.304,93.0,52.0,6.0,1.0,0.0,1.0,1.0,*2/DH,
171.0,Javier BÃ¡ez,32.0,DET,AL,1.7,40.0,149.0,141.0,21.0,40.0,8.0,0.0,6.0,29.0,1.0,1.0,5.0,33.0,0.284,0.322,0.468,0.79,123.0,0.345,124.0,66.0,2.0,3.0,0.0,0.0,0.0,85/6H,
172.0,Jordan Beck,24.0,COL,NL,0.4,39.0,149.0,135.0,26.0,35.0,6.0,4.0,8.0,16.0,5.0,2.0,12.0,43.0,0.259,0.322,0.541,0.863,128.0,0.386,137.0,73.0,1.0,1.0,0.0,1.0,0.0,*7/H,
173.0,LaMonte Wade Jr.*,31.0,SFG,NL,-0.8,44.0,149.0,127.0,12.0,22.0,7.0,2.0,1.0,14.0,0.0,0.0,20.0,32.0,0.173,0.284,0.283,0.567,65.0,0.265,67.0,36.0,2.0,0.0,1.0,1.0,1.0,*3/HD,
174.0,Trent Grisham*,28.0,NYY,AL,1.2,41.0,147.0,127.0,25.0,34.0,1.0,1.0,12.0,22.0,0.0,1.0,19.0,30.0,0.268,0.367,0.575,0.942,163.0,0.411,173.0,73.0,0.0,1.0,0.0,0.0,0.0,*8/H,
175.0,Kameron Misner*,27.0,TBR,AL,0.6,44.0,145.0,132.0,21.0,31.0,7.0,1.0,4.0,13.0,5.0,0.0,10.0,48.0,0.235,0.29,0.394,0.684,95.0,0.304,89.0,52.0,1.0,1.0,0.0,2.0,0.0,*89/7HD,
176.0,Teoscar HernÃ¡ndez,32.0,LAD,NL,1.8,36.0,144.0,137.0,23.0,42.0,10.0,0.0,10.0,38.0,4.0,0.0,5.0,27.0,0.307,0.329,0.599,0.927,158.0,0.399,155.0,82.0,4.0,0.0,0.0,1.0,0.0,*9/H,
177.0,AndrÃ©s GimÃ©nez*,26.0,TOR,AL,0.9,36.0,143.0,128.0,17.0,25.0,5.0,0.0,3.0,10.0,9.0,1.0,10.0,26.0,0.195,0.273,0.305,0.577,64.0,0.278,65.0,39.0,1.0,4.0,0.0,1.0,0.0,*4/H,
178.0,Miguel Andujar,30.0,ATH,AL,0.4,36.0,142.0,133.0,14.0,42.0,6.0,1.0,3.0,19.0,1.0,0.0,7.0,16.0,0.316,0.345,0.444,0.789,119.0,0.349,120.0,59.0,4.0,0.0,0.0,2.0,0.0,75/H39D,
179.0,Harrison Bader,31.0,MIN,AL,1.6,43.0,142.0,124.0,17.0,35.0,6.0,0.0,4.0,20.0,5.0,3.0,13.0,31.0,0.282,0.366,0.427,0.794,122.0,0.349,123.0,53.0,1.0,4.0,0.0,1.0,0.0,*78/9H,
180.0,Brooks Baldwin#,24.0,CHW,AL,-1.1,44.0,142.0,130.0,8.0,28.0,6.0,0.0,3.0,16.0,2.0,0.0,7.0,38.0,0.215,0.257,0.331,0.588,67.0,0.259,58.0,43.0,7.0,1.0,2.0,2.0,0.0,76/4H985,
181.0,Jake Burger,29.0,TEX,AL,0.1,39.0,142.0,132.0,16.0,30.0,7.0,0.0,6.0,18.0,1.0,1.0,5.0,38.0,0.227,0.268,0.417,0.684,95.0,0.291,88.0,55.0,1.0,3.0,0.0,2.0,0.0,*3/DH,
