game_pk,home_batting_bb_per_g_rolling_10,away_batting_bb_per_g_rolling_10
777592,3.1,2.8
777586,3.7,3.0
777596,2.4,2.6
777595,3.0,2.4
777602,3.6,3.3
777594,2.8,2.9
777591,3.5,2.2
777585,3.8,3.3
777590,3.9,2.3
777582,3.4,2.9
777583,1.4,3.8
777588,4.3,2.9
777587,3.1,4.0
777589,2.8,1.8
777593,4.1,3.6
777580,3.4,3.7
777574,2.8,2.6
777578,2.3,2.8
777584,3.9,2.9
777575,3.9,3.4
777581,3.0,3.3
777576,2.9,4.2
777579,2.7,3.0
777577,3.5,1.9
777573,2.8,2.8
777569,3.7,3.6
777566,2.8,2.9
777571,2.2,2.8
777570,3.6,2.2
777565,4.2,3.0
777557,4.5,2.6
777572,2.2,4.2
777568,3.6,3.5
777558,3.1,3.1
777567,1.8,3.8
777563,1.5,3.0
777564,2.8,4.0
777560,3.0,3.1
777559,4.2,1.9
777552,2.7,2.2
777553,2.2,3.1
777549,3.1,3.8
777554,3.7,3.2
777545,2.9,2.0
777548,4.3,2.3
777542,2.7,3.7
777543,3.2,3.1
